ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
YDR456W	galactose	glutamate	168.440120	150.733533	334.000000	0.533240	67.355339
YBR156C	galactose	glutamate	306.923750	150.970000	800.000000	0.382406	102.911688
YDR453C	galactose	glutamate	445.881041	150.667286	538.000000	0.391337	85.012193
YBR151W	galactose	glutamate	583.917840	148.715962	426.000000	0.552463	80.183766
YDR452W	galactose	glutamate	722.222222	149.989542	765.000000	0.371964	100.669048
YBR149W	galactose	glutamate	860.529915	146.991453	468.000000	0.485569	80.769553
wild-type	galactose	glutamate	998.872236	148.987715	814.000000	0.402950	104.083261
wild-type	galactose	glutamate	1136.300971	147.215534	515.000000	0.645917	87.840620
YDR451C	galactose	glutamate	1278.000000	148.000000	0.000000	0.000000	0.000000
YBR148W	galactose	glutamate	1414.095087	147.274168	631.000000	0.216889	91.254834
YDR450W	galactose	glutamate	1554.000000	148.000000	0.000000	0.000000	0.000000
YBR147W	galactose	glutamate	1691.448124	145.041943	453.000000	0.425280	77.112698
wild-type	galactose	glutamate	1829.198980	146.484694	588.000000	0.380222	88.426407
wild-type	galactose	glutamate	1967.417160	146.452663	676.000000	0.379198	95.597980
YDR447C	galactose	glutamate	2105.213001	144.901798	723.000000	0.136704	98.325902
YBR146W	galactose	glutamate	2243.920162	145.514208	739.000000	0.388673	98.911688
YDR446W	galactose	glutamate	2382.000000	148.000000	0.000000	0.000000	0.000000
YBR145W	galactose	glutamate	2521.758621	141.071429	406.000000	0.493381	74.526912
YDR443C	galactose	glutamate	2658.000000	148.000000	0.000000	0.000000	0.000000
YBR144C	galactose	glutamate	2797.299065	141.797508	642.000000	0.535432	97.254834
blank	galactose	glutamate	2938.163580	140.027778	324.000000	0.458141	65.941125
blank	galactose	glutamate	3072.000000	148.000000	0.000000	0.000000	0.000000
YDR442W	galactose	glutamate	3213.754902	139.762255	408.000000	0.584369	75.597980
YBR141C	galactose	glutamate	3349.886587	142.958561	917.000000	0.245903	111.982756
YDL115C	galactose	glutamate	174.000000	290.000000	0.000000	0.000000	0.000000
YCR088W	galactose	glutamate	309.466258	292.613497	489.000000	0.414010	80.769553
YOR180C	galactose	glutamate	447.896386	293.195181	415.000000	0.462002	73.941125
YCR083W	galactose	glutamate	588.000000	290.000000	0.000000	0.000000	0.000000
YOR179C	galactose	glutamate	724.380952	292.195767	378.000000	0.329481	69.698485
YCR075C	galactose	glutamate	862.923729	290.991525	472.000000	0.453430	78.769553
wild-type	galactose	glutamate	1000.970954	288.829876	482.000000	0.431409	81.597980
wild-type	galactose	glutamate	1140.000000	290.000000	0.000000	0.000000	0.000000
YNL096C	galactose	glutamate	1277.815618	287.804772	461.000000	0.537381	79.112698
YCR073C	galactose	glutamate	1416.057471	287.204598	435.000000	0.526133	75.112698
YPL137C	galactose	glutamate	1555.243437	286.921241	419.000000	0.628963	74.284271
YCR069W	galactose	glutamate	1692.000000	290.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	1831.256906	285.127072	362.000000	0.613253	70.284271
wild-type	galactose	glutamate	1969.093333	285.434667	375.000000	0.357530	70.183766
YPL078C	galactose	glutamate	2106.000000	290.000000	0.000000	0.000000	0.000000
YCR067C	galactose	glutamate	2245.295597	283.427673	318.000000	0.424921	64.284271
YPL036W	galactose	glutamate	2382.000000	290.000000	0.000000	0.000000	0.000000
YCR062W	galactose	glutamate	2520.000000	290.000000	0.000000	0.000000	0.000000
YPL034W	galactose	glutamate	2660.057940	280.742489	466.000000	0.722275	83.597980
YCR060W	galactose	glutamate	2799.472684	281.522565	421.000000	0.672500	78.526912
blank	galactose	glutamate	2934.000000	290.000000	0.000000	0.000000	0.000000
blank	galactose	glutamate	3072.000000	290.000000	0.000000	0.000000	0.000000
YPL027W	galactose	glutamate	3210.000000	290.000000	0.000000	0.000000	0.000000
YCR048W	galactose	glutamate	3351.511754	282.735986	553.000000	0.466333	87.497475
YDR441C	galactose	glutamate	174.000000	432.000000	0.000000	0.000000	0.000000
YBR139W	galactose	glutamate	312.000000	432.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	448.161290	431.545906	403.000000	0.197447	73.941125
wild-type	galactose	glutamate	586.227586	431.052874	435.000000	0.213947	78.769553
YDR440W	galactose	glutamate	724.447537	430.533191	467.000000	0.412111	87.840620
YBR138C	galactose	glutamate	863.143885	429.920863	417.000000	0.292883	76.426407
YDR439W	galactose	glutamate	1001.600000	430.021978	455.000000	0.463618	85.840620
YBR137W	galactose	glutamate	1139.200000	428.813793	435.000000	0.686270	80.426407
YDR438W	galactose	glutamate	1277.659259	428.380247	405.000000	0.598702	75.012193
YBR134W	galactose	glutamate	1416.692875	426.904177	407.000000	0.612215	75.941125
YDL095W	galactose	glutamate	1554.325980	426.882353	408.000000	0.534459	75.012193
YBR132C	galactose	glutamate	1692.880519	426.685714	385.000000	0.686273	74.183766
YDL094C	galactose	glutamate	1830.348525	425.906166	373.000000	0.579778	70.183766
YBR130C	galactose	glutamate	1968.640103	424.892031	389.000000	0.652494	74.769553
YDL093W	galactose	glutamate	2109.356897	426.050000	580.000000	0.737766	104.325902
YBR129C	galactose	glutamate	2246.591022	425.588529	401.000000	0.564715	77.355339
YDL091C	galactose	glutamate	2385.045977	424.885057	348.000000	0.543511	70.870058
blank	galactose	glutamate	2520.000000	432.000000	0.000000	0.000000	0.000000
YDL089W	galactose	glutamate	2661.025445	423.773537	393.000000	0.726677	81.012193
YBR126C	galactose	glutamate	2798.994118	423.064706	340.000000	0.734920	75.941125
YDL088C	galactose	glutamate	2935.735230	422.485777	457.000000	0.734470	96.083261
YBR121C	galactose	glutamate	3074.730205	421.304985	341.000000	0.684653	70.526912
YDL086W	galactose	glutamate	3214.044444	422.000000	450.000000	0.734066	83.597980
YBR120C	galactose	glutamate	3353.996997	424.735736	333.000000	0.608137	66.284271
YPL017C	galactose	glutamate	168.316062	576.546632	386.000000	0.596305	73.597980
YCR047C	galactose	glutamate	308.994236	577.501441	347.000000	0.475155	66.870058
wild-type	galactose	glutamate	448.400480	572.860911	417.000000	0.401247	77.840620
wild-type	galactose	glutamate	588.000000	574.000000	0.000000	0.000000	0.000000
YPL004C	galactose	glutamate	725.084783	572.123913	460.000000	0.375281	84.426407
YCR046C	galactose	glutamate	864.000000	574.000000	0.000000	0.000000	0.000000
YOR303W	galactose	glutamate	1000.474201	571.533170	407.000000	0.583539	80.426407
YCR033W	galactose	glutamate	1137.795732	571.490854	328.000000	0.508563	65.941125
YOR302W	galactose	glutamate	1276.935780	569.305046	436.000000	0.554413	79.597980
YCR032W	galactose	glutamate	1415.307937	569.882540	315.000000	0.610660	63.941125
YOR276W	galactose	glutamate	1553.563307	568.369509	387.000000	0.778926	87.840620
YCR030C	galactose	glutamate	1692.984655	567.631714	391.000000	0.716942	80.183766
YOR275C	galactose	glutamate	1830.085106	567.772036	329.000000	0.539562	68.426407
YCR028C-A	galactose	glutamate	1971.767591	567.206823	469.000000	0.753899	107.740115
YOR274W	galactose	glutamate	2108.291545	566.714286	343.000000	0.685673	70.870058
YCL026C-A	galactose	glutamate	2244.000000	574.000000	0.000000	0.000000	0.000000
YOR273C	galactose	glutamate	2385.405488	566.625000	328.000000	0.612277	69.455844
YBR301W	galactose	glutamate	2520.000000	574.000000	0.000000	0.000000	0.000000
YOR271C	galactose	glutamate	2658.000000	574.000000	0.000000	0.000000	0.000000
YBR294W	galactose	glutamate	2799.181303	564.501416	353.000000	0.623168	72.870058
YOR270C	galactose	glutamate	2934.000000	574.000000	0.000000	0.000000	0.000000
YBR289W	galactose	glutamate	3072.000000	574.000000	0.000000	0.000000	0.000000
YOR269W	galactose	glutamate	3214.611979	562.992188	384.000000	0.757899	75.941125
YBR288C	galactose	glutamate	3350.346880	567.642961	689.000000	0.217754	96.083261
YDL085W	galactose	glutamate	169.826590	720.210983	692.000000	0.485360	96.669048
YBR119W	galactose	glutamate	309.954327	715.740385	416.000000	0.462756	73.597980
YDL083C	galactose	glutamate	450.000000	716.000000	0.000000	0.000000	0.000000
YBR116C	galactose	glutamate	586.179298	714.014787	541.000000	0.591561	94.911688
YDL082W	galactose	glutamate	723.958209	714.829851	335.000000	0.556549	67.941125
YBR115C	galactose	glutamate	862.734403	713.843137	561.000000	0.630546	101.497475
YDL081C	galactose	glutamate	1002.000000	716.000000	0.000000	0.000000	0.000000
YBR114W	galactose	glutamate	1139.309735	712.325221	452.000000	0.494792	82.183766
YDL080C	galactose	glutamate	1277.275148	711.511834	338.000000	0.439112	67.355339
YBR113W	galactose	glutamate	1416.116959	711.201754	342.000000	0.651868	71.355339
wild-type	galactose	glutamate	1554.362205	710.818898	508.000000	0.728820	108.083261
wild-type	galactose	glutamate	1693.523466	710.613718	554.000000	0.702578	117.639610
YDL079C	galactose	glutamate	1830.000000	716.000000	0.000000	0.000000	0.000000
YBR111C	galactose	glutamate	1969.129241	710.001616	619.000000	0.602469	129.396970
YDL078C	galactose	glutamate	2106.000000	716.000000	0.000000	0.000000	0.000000
YBR108W	galactose	glutamate	2247.777528	708.191011	445.000000	0.727057	88.083261
YDL076C	galactose	glutamate	2386.112000	707.333333	375.000000	0.703408	75.597980
YBR107C	galactose	glutamate	2520.000000	716.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	2660.461126	706.689008	373.000000	0.692336	75.698485
wild-type	galactose	glutamate	2798.810707	706.730402	523.000000	0.680255	100.083261
YDL071C	galactose	glutamate	2937.361111	705.772727	396.000000	0.746794	85.597980
YBR106W	galactose	glutamate	3072.000000	716.000000	0.000000	0.000000	0.000000
YDL070W	galactose	glutamate	3210.000000	716.000000	0.000000	0.000000	0.000000
YBR104W	galactose	glutamate	3348.000000	716.000000	0.000000	0.000000	0.000000
YOR268C	galactose	glutamate	174.000000	858.000000	0.000000	0.000000	0.000000
YBR287W	galactose	glutamate	309.621212	858.285354	396.000000	0.438937	72.183766
YOR267C	galactose	glutamate	447.303965	856.433921	454.000000	0.573238	83.597980
YBR280C	galactose	glutamate	585.937075	856.425170	588.000000	0.605228	94.911688
YOR266W	galactose	glutamate	723.551963	855.016166	433.000000	0.605691	85.254834
YBR276C	galactose	glutamate	861.880407	854.913486	393.000000	0.586720	76.183766
YOR265W	galactose	glutamate	1000.167401	853.914097	454.000000	0.692511	89.012193
YBR275C	galactose	glutamate	1138.882022	854.320225	534.000000	0.644496	99.254834
YOL155C	galactose	glutamate	1277.505010	853.422846	499.000000	0.730325	92.911688
YBR272C	galactose	glutamate	1415.656836	852.541555	373.000000	0.709269	83.254834
wild-type	galactose	glutamate	1554.928721	852.561845	477.000000	0.712135	104.325902
wild-type	galactose	glutamate	1692.226244	852.013575	442.000000	0.725679	100.669048
YOL152W	galactose	glutamate	1832.318059	851.339623	371.000000	0.770068	83.254834
YBR270C	galactose	glutamate	1968.624585	851.818937	602.000000	0.623875	121.497475
YNL142W	galactose	glutamate	2108.967262	850.583333	336.000000	0.704141	73.941125
YBR169C	galactose	glutamate	2244.000000	858.000000	0.000000	0.000000	0.000000
YNL140C	galactose	glutamate	2384.925816	849.492582	337.000000	0.730897	75.355339
YBR168W	galactose	glutamate	2520.000000	858.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	2661.456583	848.554622	357.000000	0.731992	77.355339
wild-type	galactose	glutamate	2796.000000	858.000000	0.000000	0.000000	0.000000
YMR322C	galactose	glutamate	2936.580046	846.928074	431.000000	0.751506	93.840620
YBR150C	galactose	glutamate	3074.718033	847.524590	610.000000	0.628574	112.225397
YKR106W	galactose	glutamate	3214.583333	847.139640	444.000000	0.759217	85.012193
YBR131W	galactose	glutamate	3350.121805	851.842105	665.000000	0.282917	94.083261
YDL068W	galactose	glutamate	174.000000	1000.000000	0.000000	0.000000	0.000000
YBR103W	galactose	glutamate	312.000000	1000.000000	0.000000	0.000000	0.000000
YDL066W	galactose	glutamate	447.728538	998.740139	431.000000	0.609603	82.426407
YBR099C	galactose	glutamate	585.455856	998.455856	555.000000	0.616857	98.325902
YDL065C	galactose	glutamate	723.376744	997.655814	430.000000	0.592256	84.426407
YBR095C	galactose	glutamate	861.120944	997.241888	339.000000	0.408243	68.183766
YDL063C	galactose	glutamate	1000.743827	996.157407	324.000000	0.515363	68.526912
YBR094W	galactose	glutamate	1137.797802	996.512088	455.000000	0.674967	92.911688
YDL062W	galactose	glutamate	1277.244770	996.728033	478.000000	0.699709	93.840620
YBR093C	galactose	glutamate	1415.281008	994.939922	516.000000	0.626706	108.325902
YDL057W	galactose	glutamate	1553.723971	994.314770	413.000000	0.677450	87.254834
YBR092C	galactose	glutamate	1692.392248	994.986047	645.000000	0.477007	148.124892
YDL056W	galactose	glutamate	1830.000000	1000.000000	0.000000	0.000000	0.000000
YBR090C-A	galactose	glutamate	1968.624339	994.197531	567.000000	0.520678	124.225397
YDL054C	galactose	glutamate	2109.076305	992.895582	498.000000	0.695335	98.426407
YBR084W	galactose	glutamate	2246.311828	991.931183	465.000000	0.724618	92.911688
blank	galactose	glutamate	2382.000000	1000.000000	0.000000	0.000000	0.000000
YBR082C	galactose	glutamate	2522.801508	990.695980	398.000000	0.673064	84.183766
YDL052C	galactose	glutamate	2661.046448	990.609290	366.000000	0.724516	79.254834
YPR078C	galactose	glutamate	2800.306329	991.177215	395.000000	0.627148	75.355339
YDL051W	galactose	glutamate	2937.624724	990.309051	453.000000	0.717527	83.597980
YPR064W	galactose	glutamate	3076.115578	989.763819	398.000000	0.737066	86.426407
wild-type	galactose	glutamate	3210.000000	1000.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	3349.650685	993.702740	730.000000	0.247841	98.669048
YKL053C-A	galactose	glutamate	174.000000	1142.000000	0.000000	0.000000	0.000000
YBR125C	galactose	glutamate	310.640449	1141.534831	445.000000	0.533084	79.840620
YJR055W	galactose	glutamate	450.000000	1142.000000	0.000000	0.000000	0.000000
YMR119W	galactose	glutamate	588.000000	1142.000000	0.000000	0.000000	0.000000
YJR003C	galactose	glutamate	724.351288	1140.107728	427.000000	0.618301	85.254834
YBR100W	galactose	glutamate	864.000000	1142.000000	0.000000	0.000000	0.000000
YIR044C	galactose	glutamate	1000.786355	1140.166966	557.000000	0.494222	106.083261
YBR090C	galactose	glutamate	1140.000000	1142.000000	0.000000	0.000000	0.000000
YIR043C	galactose	glutamate	1277.531599	1138.531599	538.000000	0.555690	109.497475
YBR084C-A	galactose	glutamate	1416.000000	1142.000000	0.000000	0.000000	0.000000
YIR032C	galactose	glutamate	1554.276163	1136.694767	344.000000	0.688927	82.183766
YBR083W	galactose	glutamate	1692.000000	1142.000000	0.000000	0.000000	0.000000
YIR030C	galactose	glutamate	1830.143251	1136.192837	363.000000	0.728057	89.840620
YAR002C-A	galactose	glutamate	1968.000000	1142.000000	0.000000	0.000000	0.000000
YIR023W	galactose	glutamate	2106.000000	1142.000000	0.000000	0.000000	0.000000
YML035C	galactose	glutamate	2246.061798	1134.160112	356.000000	0.731720	92.426407
YIL092W	galactose	glutamate	2385.121372	1133.559367	379.000000	0.731159	81.012193
YKR053C	galactose	glutamate	2523.398964	1133.720207	386.000000	0.669235	73.941125
YIL058W	galactose	glutamate	2661.067524	1133.302251	622.000000	0.678070	115.982756
YKR046C	galactose	glutamate	2800.976401	1133.339233	339.000000	0.720018	75.941125
YIL030C	galactose	glutamate	2938.696891	1133.168394	386.000000	0.674271	77.012193
YKR041W	galactose	glutamate	3072.000000	1142.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	3215.454183	1133.914343	502.000000	0.690892	85.597980
wild-type	galactose	glutamate	3353.291304	1133.504348	460.000000	0.507308	78.183766
YDL050C	galactose	glutamate	169.515337	1285.883436	326.000000	0.305400	66.526912
